Open,High,Low,Close,Volume
2209.15,2212.45,2208.45,2211.6,7618
2211.6,2212.0,2210.25,2210.25,7598
2209.85,2210.95,2209.5,2210.0,3516
2209.6,2210.0,2209.0,2210.0,2905
2210.45,2210.45,2209.55,2209.55,945
2209.6,2211.55,2209.6,2211.0,1751
2211.35,2216.5,2211.35,2216.4,9485
2216.4,2225.85,2215.95,2225.0,16730
2225.0,2234.2,2225.0,2231.95,33601
2230.55,2235.85,2230.55,2233.05,14158
2232.6,2235.0,2230.0,2231.15,5030
2231.4,2233.6,2228.4,2230.35,6781
2229.05,2229.65,2226.15,2227.35,7854
2226.9,2229.05,2225.9,2229.05,2844
2228.65,2228.8,2225.3,2225.3,2557
2224.8,2227.8,2224.0,2227.3,4388
2225.5,2228.3,2224.2,2225.4,2495
2226.0,2226.15,2224.6,2225.5,4061
2225.5,2226.8,2225.05,2226.0,1497
2226.05,2227.35,2222.4,2222.75,3923
2222.45,2225.0,2222.2,2223.15,2099
2223.3,2224.85,2222.5,2223.5,1342
2223.2,2225.0,2222.5,2225.0,2015
2225.0,2225.0,2222.1,2223.35,1763
2222.0,2227.45,2222.0,2225.95,4533
2225.8,2229.3,2224.55,2226.8,8964
2226.75,2226.9,2221.55,2225.65,4939
2224.6,2225.1,2221.7,2221.7,1369
2221.75,2223.55,2221.25,2223.0,2322
2223.75,2223.75,2221.0,2221.35,2574
2221.35,2223.0,2221.0,2222.15,4777
2222.05,2223.0,2221.5,2222.65,413
2221.75,2226.25,2221.75,2226.2,4004
2226.25,2226.45,2220.7,2221.1,2631
2221.2,2224.6,2220.0,2224.6,4096
2224.65,2225.5,2224.2,2225.0,806
2225.7,2230.4,2225.7,2227.7,6870
2228.1,2230.0,2227.0,2229.95,907
2229.8,2229.95,2227.05,2227.1,2198
2227.8,2229.7,2227.8,2229.0,4207
2228.5,2228.5,2224.6,2225.1,1740
2226.0,2226.0,2224.5,2224.5,411
2224.5,2226.9,2223.7,2225.85,1780
2226.9,2227.0,2224.5,2226.9,1308
2226.75,2228.15,2225.75,2225.75,4477
2226.1,2226.45,2224.5,2225.15,194
2225.2,2226.85,2225.1,2226.0,880
2226.0,2228.8,2224.95,2227.0,1412
2227.9,2227.9,2225.25,2226.0,931
2226.0,2226.3,2225.0,2226.25,616
2225.55,2227.8,2225.3,2227.8,1387
2227.8,2229.8,2225.4,2227.7,2639
2226.95,2228.5,2226.15,2227.0,1813
2227.4,2228.45,2226.85,2228.45,1335
2228.7,2232.4,2227.8,2232.0,5238
2232.0,2232.4,2229.05,2230.0,3126
2230.0,2230.0,2227.3,2227.3,545
2227.25,2228.2,2227.05,2227.9,430
2227.95,2229.0,2227.05,2228.0,1115
2227.8,2229.0,2227.6,2229.0,667
2228.0,2229.0,2228.0,2228.05,1050
2228.05,2228.6,2226.0,2227.5,1895
2227.25,2232.9,2226.9,2232.9,5959
2232.9,2233.05,2229.9,2231.5,3442
2230.95,2230.95,2228.2,2228.2,1734
2228.25,2230.5,2228.2,2229.8,2311
2230.0,2233.9,2230.0,2232.8,4288
2233.8,2234.35,2231.0,2234.25,3071
2233.7,2233.8,2231.3,2231.45,1001
2231.5,2233.8,2230.35,2232.15,2423
2232.3,2233.8,2232.3,2232.8,1667
2232.9,2234.0,2231.3,2233.95,1488
2233.8,2234.4,2232.65,2233.0,973
2233.0,2233.0,2231.55,2232.25,670
2232.3,2234.8,2232.3,2234.8,2366
2233.75,2235.0,2233.6,2233.6,1383
2234.0,2234.5,2233.1,2233.15,805
2233.25,2235.0,2232.0,2233.55,3049
2234.0,2234.0,2233.0,2233.05,1191
2233.1,2233.9,2230.95,2231.1,788
2231.1,2231.95,2230.05,2230.15,1271
2230.05,2230.55,2227.25,2228.55,2780
2228.4,2229.0,2227.4,2228.95,1452
2228.2,2230.0,2228.2,2229.0,762
2229.0,2231.8,2228.95,2231.45,2035
2231.5,2232.4,2229.8,2230.85,1122
2230.75,2231.15,2229.0,2229.0,1079
2229.7,2230.0,2229.0,2229.0,434
2229.85,2230.0,2229.0,2229.05,440
2229.9,2229.9,2229.05,2229.1,422
2229.4,2230.0,2229.1,2229.5,1443
2230.1,2230.1,2228.0,2229.1,6217
2230.0,2233.9,2229.15,2233.8,6164
2232.25,2233.4,2232.1,2232.75,960
2232.75,2234.9,2232.45,2234.65,2105
2234.7,2234.7,2233.0,2234.5,1557
2234.5,2235.0,2233.45,2234.65,2324
2234.7,2235.5,2233.2,2234.85,3225
2235.5,2236.95,2234.7,2235.05,3455
2235.6,2239.95,2235.05,2239.1,4997
2239.1,2239.95,2236.95,2239.0,2698
2239.15,2240.0,2237.5,2237.5,2442
2238.0,2238.0,2236.0,2236.0,301
2236.95,2237.0,2235.5,2236.25,1570
2236.25,2239.0,2235.85,2239.0,1926
2239.8,2239.8,2237.0,2237.0,812
2237.0,2238.2,2236.0,2237.0,1320
2236.5,2237.05,2235.6,2235.6,503
2235.2,2235.4,2234.1,2234.35,930
2234.9,2238.0,2234.35,2237.7,1167
2237.05,2237.8,2236.3,2237.5,393
2237.5,2237.6,2236.3,2236.45,678
2236.7,2237.0,2235.5,2236.05,325
2236.5,2237.0,2235.55,2236.5,1717
2236.0,2238.0,2236.0,2237.9,1437
2237.85,2241.8,2237.4,2241.2,4725
2240.55,2241.05,2238.6,2238.6,2108
2239.25,2241.4,2238.3,2238.65,4048
2238.65,2239.2,2237.4,2238.0,305
2238.0,2238.5,2237.8,2238.3,512
2238.35,2240.85,2238.35,2239.3,1355
2239.3,2239.3,2237.0,2237.95,2935
2237.95,2238.95,2236.5,2236.5,2320
2236.9,2238.6,2236.0,2238.45,11265
2238.2,2240.8,2238.2,2240.05,4419
2238.75,2240.05,2237.85,2239.6,511
2239.1,2240.05,2238.1,2238.1,707
2239.2,2239.85,2236.35,2236.5,1278
2236.55,2237.45,2236.1,2236.15,914
2236.15,2237.1,2234.5,2234.5,1944
2234.9,2234.9,2230.6,2232.1,3774
2232.15,2232.15,2230.2,2231.0,1193
2230.9,2233.25,2230.9,2232.2,888
2232.2,2232.95,2230.9,2231.9,655
2231.95,2232.0,2230.9,2230.9,992
2231.6,2231.9,2230.45,2230.55,357
2230.5,2230.75,2228.75,2229.85,2270
2229.95,2230.0,2228.0,2228.1,1512
