Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
MARUTI,2025-02-24T04:23:44Z,"M&M shares in focus as Jefferies calls recent dip a buying opportunity, sees 53% upside","Jefferies maintained a 'Buy' rating on M&M with a Rs 4,075 target, citing strong tractor and SUV market share. M&M’s Q3 profit rose 19% YoY to Rs 2,964 crore. Despite technical weakness, analysts see a buying opportunity.",0.9567,Positive,https://economictimes.indiatimes.com/markets/stocks/news/mm-shares-in-focus-as-jefferies-calls-recent-dip-a-buying-opportunity-sees-53-upside/articleshow/118519851.cms
MARUTI,2025-02-24T04:18:25Z,"What to do with Natco Pharma, M&M, Bharat Dynamics and 3 other stocks? Aamar Deo of Angel One decodes","We have been witnessing a sell-on-rally market for the past many months, and that trend continues to hold as of now. Going forward, Nifty has very crucial support around the 22,500-22,700 zone, any consistent breach below this zone could lead to a further sha…",0.197,Positive,https://economictimes.indiatimes.com/markets/expert-view/what-to-do-with-natco-pharma-mm-bharat-dynamics-and-3-other-stocks-aamar-deo-of-angel-one-decodes/articleshow/118519853.cms
MARUTI,2025-02-24T03:56:49Z,"Monday blues! Sensex slides over 550 points, Nifty below 22,650 as D-St reacts to tariff threat","Indian benchmark equity indices opened lower for the fifth consecutive session due to global market weakness and concerns over US consumer demand and tariff threats. All sectors experienced selling, leading to significant declines in stocks such as Zomato, HC…",-0.8718,Negative,https://economictimes.indiatimes.com/markets/stocks/news/monday-blues-sensex-slides-over-550-points-nifty-below-22650-as-d-st-reacts-to-tariff-threat/articleshow/118519062.cms
MARUTI,2025-02-24T02:00:03Z,India’s car market stares at stagnancy: It may need a policy kickstart,"Sales growth fizzling out could be a sign of premature saturation. A policy push for the adoption electric vehicles and the stimulus of greater import competition may help, but that might still not solve the basic problem carmakers face.",-0.2589,Negative,https://www.livemint.com/opinion/online-views/indias-car-market-stares-at-stagnancy-it-may-need-a-policy-kickstart-11740229184977.html
MARUTI,2025-02-24T01:14:02Z,"Share Market Highlights 24 February 2025: Markets bleed: Sensex tanks 856 points, Nifty below 22,600 on US tariff woes","Sensex, Nifty updates on 24 February 2025: Equity benchmark indices Sensex and Nifty closed in deep red on Monday, tracking extremely weak US market trends, incessant foreign fund outflows and concerns over US tariffs. The 30-share BSE benchmark Sensex tanked…",0.4951,Positive,https://www.thehindubusinessline.com/markets/stock-market-highlights-24th-february-2025/article69254304.ece
MARUTI,2025-02-22T11:11:37Z,Tesla price in India: How much will Elon Musk's cheapest EV cost even with lower tariffs? Check details,"A CLSA report has highlighted that with a reduced tariff rate of 15-20 per cent, Tesla price in India will be more expensive than its domestic competitors like Maruti Suzuki. The company will need to open a manufacturing unit in India to keep up with competit…",-0.4514,Negative,https://www.livemint.com/companies/news/tesla-price-in-india-how-much-will-elon-musk-cheapest-ev-cost-even-with-lower-tariffs-check-details-11740221738212.html
MARUTI,2025-02-22T08:39:39Z,Tesla India entry a limited threat to Mahindra as de-rating priced in after 17% drop in share price: CLSA,"Despite the hype over Tesla’s possible entry into India, CLSA contends that pricing constraints, import duties, and consumer preferences will limit its domestic influence. Positioned in the premium segment, Tesla’s base model currently costs around $35,000, f…",-0.7003,Negative,https://economictimes.indiatimes.com/markets/stocks/news/tesla-india-entry-a-limited-threat-to-mahindra-as-de-rating-priced-in-after-17-drop-in-share-price-clsa/articleshow/118475056.cms
MARUTI,2025-02-22T06:13:45Z,"Even with reduced duty, the cheapest Tesla car will cost ₹35-40 lakhs in India","With an expected reduction in import duties to 15-20 per cent in India, along with additional costs such as road tax and insurance, the on-road price would still be around $40,000, or approximately ₹35-40 lakh",0.0,Neutral,https://www.thehindubusinessline.com/economy/even-with-reduced-duty-the-cheapest-tesla-car-will-cost-35-40-lakhs-in-india/article69250364.ece
MARUTI,2025-02-21T08:30:53Z,"Maruti Suzuki Brezza gets major safety upgrade, higher price: Details","The Maruti Brezza gets a 9-inch floating SmartPlay Pro+ touchscreen infotainment system with connected-car tech and Surround Sense premium sound system by Arkamys, paddle shifters (AT only), a TFT multi-info display for the instrument cluster, an electric sun…",0.4215,Positive,https://timesofindia.indiatimes.com/auto/cars/maruti-suzuki-brezza-gets-major-safety-upgrade-higher-price-details/articleshow/118426900.cms
MARUTI,2025-02-20T18:19:07Z,PM Internship scheme round 2: Over 100k offers placed by companies,"In the first phase, 280 of the 500 selected companies-including Reliance Industries, Tata Consultancy Services, HDFC Bank, Maruti Suzuki, Larsen & Toubro and Mahindra & Mahindra-had placed a total of 127,000 internship offers, exceeding the initial target of …",0.8271,Positive,https://economictimes.indiatimes.com/jobs/fresher/pm-internship-scheme-round-2-over-100k-offers-placed-by-companies/articleshow/118428001.cms
